Type,Name,Street Address,City,Zip,Longitude,Latitude
Farmers Market,American Legion South Lake Tahoe,2732 South Lake Tahoe Blvd.,South Lake Tahoe,96150,38.92944,-119.9801
Grocery Store,Folsom Whole Foods,270 Palladio Pkwy,Folsom,95630,38.6487,-121.1184
Farmers Market,Kings Beach Farmers' Market,Highway 28 & Coon Street,Tahoe City,96146,39.23662,-120.02484
Farmers Market,Rocklin Blue Oaks,6636 Lonetree Boulevard,Rocklin,95765,38.80204,-121.296875
Farmers Market,Capitol Mall,600 Capitol Mall,Sacramento,95814,38.57798,-121.499496
Farmers Market,Chavez Plaza,950 J Street,Sacramento,95814,38.580948,-121.493813
Farmers Market,Country Club Plaza,2400 Butano Drive,Sacramento,95825,38.607983,-121.381355
Farmers Market,Del Paso Heights,3525 Norwood Ave.,Sacramento,95638,38.630165,-121.456993
Farmers Market,Florin Sears Store,5901 Florin Road,Sacramento,95823,38.496342,-121.436989
Farmers Market,Folsom CFM,900 Sutter St,Folsom,95630,38.67672,-121.17868
Farmers Market,Fremont Park,1540 P Street,Sacramento,95814,38.570751,-121.488815
Farmers Market,Laguna Gateway Center,8245 Laguna Boulevard,Elk Grove,95758,38.421066,-121.405838
Farmers Market,Oak Park,3500 5th Avenue,Sacramento,95817,38.548668,-121.469696
Farmers Market,Pointe West Kaiser Permanent,1650 Response Road,Sacramento,95815,38.5963,-121.4295
Farmers Market,The Promenade,3637 N Freeway Blvd,Sacramento,95834,38.6393,-121.49649
Farmers Market,Roosevelt Park,940 P Street,Sacramento,95814,38.573418,-121.497414
Farmers Market,State Parking Lot,800 W Street,Sacramento,95818,38.566105,-121.502586
Farmers Market,Sunrise Station,11164 Folsom Blvd,Rancho Cordova,95742,38.604881,-121.268311
Farmers Market,Davis Picnic in the Park,4th and C Street,Davis,95616,38.545597,-121.744461
Farmers Market,Sutter Davis Hospital,2000 Sutter Place,Davis,95616,38.56239,-121.7721
Farmers Market,University of California at Davis,1 Shields Avenue,Davis,95616,38.53896,-121.75301
Farmers Market,Woodland Healthcare,1325 Cottonwood Street,Woodland,95695,38.66375,-121.79227
Farmers Market,Sacramento Kaiser,2025 Morse Avenue,Sacramento,95825,38.603271,-121.392189
Restaurants,Hot Italian,1627 16th Street,Sacramento,95814,38.5705703,-121.488243
Restaurants,The Kitchen,2225 Hurley Way,Sacramento,95825,38.5892849,-121.414137
Restaurants,Ten 22,1022 2nd Street,Sacramento,95814,38.5826196,-121.5046318
Restaurants,Magpie,1409 R Strret,Sacramento,95811,38.5700828,-121.4912672
Restaurants,Hook and Lader,1630 S Street,Sacramento,95811,38.5677233,-121.4885314
Restaurants,Selland's Market Place,5340 H Street,Sacramento,95819,38.567817,-121.436618
Restaurants,Red Rabiit,2718 J Street,Sacramento,95816,38.5736309,-121.470021
Restaurants,Kru,2516 J Street,Sacramento,95816,38.5744728,-121.4725913
Restaurants,Centro,2730 J Street,Sacramento,95816,38.5736813,-121.4695297
Restaurants,Enotria,1431 Del Paso Blvd.,Sacramento,95815,38.6060774,-121.4598759
Restaurants,Grange,926 J Street,Sacramento,95814,38.5801413,-121.4938701
Restaurants,Restaurant Thir13en,1300 H Street,Sacramento,95814,38.580976,-121.488131
Restaurants,Blackbird,1015 9th Street,Sacramento,85816,38.5801872,-121.4949931
Restaurants,Ella,1131 K Street,Sacramento,95814,38.57888,-121.491408
Restaurants,Lucca Restaurant and Bar,1615 J Street,Sacramento,95814,38.5780753,-121.4844454
Restaurants,The Porch,1815 K Street,Sacramento,95814,38.5765546,-121.4822439
Restaurants,Maranello,8928 Sunset Ave,"Fair Oaks, CA",95628,38.652847,-121.2242972
